Time_s,Velocity_Linear_mps,Velocity_Sine_mps,Velocity_Exp_mps,Velocity_Poly5_mps
10.688,0.35,0.35,0.35,0.35
10.69,0.35,0.35,0.35,0.35
10.692,0.35,0.35,0.35,0.35
10.694,0.35,0.35,0.35,0.35
10.696,0.35,0.35,0.35,0.35
10.698,0.35,0.35,0.35,0.35
10.7,0.35,0.35,0.35,0.35
10.702,0.35,0.35,0.35,0.35
10.704,0.35,0.35,0.35,0.35
10.706,0.35,0.35,0.35,0.35
10.708,0.35,0.35,0.35,0.35
10.71,0.35,0.35,0.35,0.35
10.712,0.35,0.35,0.35,0.35
10.714,0.35,0.35,0.35,0.35
10.716,0.35,0.35,0.35,0.35
10.718,0.35,0.35,0.35,0.35
10.72,0.35,0.35,0.35,0.35
10.722,0.35,0.35,0.35,0.35
10.724,0.35,0.35,0.35,0.35
10.726,0.35,0.35,0.35,0.35
10.728,0.35,0.35,0.35,0.35
10.73,0.35,0.35,0.35,0.35
10.732,0.35,0.35,0.35,0.35
10.734,0.35,0.35,0.35,0.35
10.736,0.35,0.35,0.35,0.35
10.738,0.35,0.35,0.35,0.35
10.74,0.35,0.35,0.35,0.35
10.742,0.35,0.35,0.35,0.35
10.744,0.35,0.35,0.35,0.35
10.746,0.35,0.35,0.35,0.35
10.748,0.35,0.35,0.35,0.35
10.75,0.35,0.35,0.35,0.35
10.752,0.35,0.35,0.35,0.35
10.754,0.35,0.35,0.35,0.35
10.756,0.35,0.35,0.35,0.35
10.758,0.35,0.35,0.35,0.35
10.76,0.35,0.35,0.35,0.35
10.762,0.35,0.35,0.35,0.35
10.764,0.35,0.35,0.35,0.35
10.766,0.35,0.35,0.35,0.35
10.768,0.35,0.35,0.35,0.35
10.77,0.35,0.35,0.35,0.35
10.772,0.35,0.35,0.35,0.35
10.774,0.35,0.35,0.35,0.35
10.776,0.35,0.35,0.35,0.35
10.778,0.35,0.35,0.35,0.35
10.78,0.35,0.35,0.35,0.35
10.782,0.35,0.35,0.35,0.35
10.784,0.35,0.35,0.35,0.35
10.786,0.35,0.35,0.35,0.35
10.788,0.35,0.35,0.35,0.35
10.79,0.35,0.35,0.35,0.35
10.792,0.35,0.35,0.35,0.35
10.794,0.35,0.35,0.35,0.35
10.796,0.35,0.35,0.35,0.35
